@relation flink_release-0.8.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.022,0.022,0.021,0.0,0.0,0.011,0.835,0.0,0.0,0.001,0.412,0.002,0.008,0.002,0.011,0.001,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.032,0.032,0.021,0.0,0.0,0.012,0.835,0.0,0.0,0.001,0.412,0.002,0.008,0.002,0.011,0.001,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.028,0.0,0.0,0.027,0.0,0.0,0.041,0.001,0.373,0.002,0.007,0.001,0.009,0.001,0.048,0.0,0.062,0.064,0.072,0.044,0.067,0.062,0.078,0.0,0.0,0.0,0.037,0.006,0.035,0.044,0.102,0.0,0.248,0.0,0.0,0.135,0.004,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.373,0.002,0.007,0.001,0.009,0.001,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.0,0.001,0.373,0.002,0.007,0.001,0.009,0.001,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.021,0.0,0.0,0.024,0.0,0.0,0.102,0.001,0.471,0.003,0.011,0.002,0.013,0.001,0.058,0.0,0.123,0.064,0.109,0.055,0.0,0.052,0.078,0.082,0.0,0.0,0.0,0.055,0.025,0.037,0.025,0.134,0.248,0.0,0.0,0.171,0.004,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.008,0.0,0.0,0.02,0.001,0.471,0.003,0.011,0.002,0.013,0.001,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.118,0.022,0.128,0.0,0.0,0.123,0.665,0.002,0.184,0.004,0.667,0.006,0.016,0.004,0.02,0.002,0.13,0.001,0.09,0.06,0.053,0.046,0.1,0.021,0.052,0.0,0.007,0.0,0.0,0.016,0.008,0.037,0.017,0.088,0.0,0.0,0.0,0.139,0.005,0.0,-1.0
0.022,0.022,0.021,0.0,0.0,0.01,0.835,0.004,0.0,0.004,0.667,0.006,0.016,0.004,0.02,0.002,0.13,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.022,0.0,0.057,0.0,0.0,0.023,0.625,0.006,0.0,0.004,0.667,0.006,0.016,0.004,0.02,0.002,0.13,0.001,0.0,0.038,0.0,0.018,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.036,0.001,0.0,-1.0
