@relation jena_jena-3.13.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.018,0.0,0.047,0.0,0.0,0.007,0.57,0.0,0.022,0.024,0.3,0.011,0.031,0.019,0.04,0.011,0.095,0.002,0.073,0.026,0.037,0.006,0.0,0.001,0.083,0.076,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.035,0.0,0.0,0.0,0.01,0.0,0.0,-1.0
0.004,0.0,0.016,0.0,0.0,0.002,1.0,0.0,0.0,0.002,0.15,0.002,0.008,0.002,0.012,0.001,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.013,0.0,0.019,0.0,0.0,0.005,0.785,0.003,0.065,0.009,0.333,0.009,0.028,0.009,0.038,0.005,0.094,0.001,0.066,0.021,0.03,0.005,0.095,0.002,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.007,0.0,0.0,0.0,0.018,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.002,0.0,0.001,0.022,0.002,0.2,0.002,0.01,0.002,0.016,0.001,0.03,0.0,0.042,0.057,0.049,0.012,0.088,0.003,0.167,0.2,0.0,0.0,0.0,0.0,0.013,0.003,0.0,0.182,0.0,0.0,0.0,0.013,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.117,0.002,0.011,0.002,0.015,0.001,0.021,0.0,0.125,0.019,0.0,0.004,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,-1.0
0.04,0.0,0.016,0.0,0.0,0.013,0.75,0.0,0.304,0.035,0.383,0.03,0.069,0.034,0.079,0.023,0.146,0.006,0.243,0.045,0.191,0.02,0.059,0.007,0.083,0.2,0.0,0.028,0.0,0.002,0.049,0.008,0.013,0.091,0.0,0.0,0.0,0.023,0.0,0.0,1.0
0.04,0.0,0.023,0.0,0.0,0.022,0.75,0.0,0.304,0.058,0.45,0.045,0.083,0.054,0.095,0.037,0.212,0.014,0.18,0.046,0.179,0.019,0.029,0.006,0.208,0.166,0.019,0.021,0.0,0.006,0.026,0.008,0.007,0.098,0.0,0.0,0.0,0.023,0.0,0.0,1.0
0.009,0.0,0.012,0.0,0.0,0.018,0.61,0.0,0.239,0.037,0.4,0.031,0.069,0.035,0.08,0.024,0.158,0.007,0.185,0.038,0.135,0.019,0.032,0.006,0.122,0.128,0.0,0.038,0.0,0.002,0.065,0.009,0.004,0.091,0.0,0.0,0.0,0.023,0.0,0.0,-1.0
0.0,0.0,0.012,0.0,0.0,0.002,0.0,0.0,0.022,0.004,0.15,0.003,0.012,0.004,0.017,0.002,0.04,0.0,0.083,0.019,0.065,0.006,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.003,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,-1.0
0.013,0.0,0.016,0.0,0.0,0.004,0.75,0.001,0.0,0.005,0.417,0.004,0.019,0.004,0.032,0.003,0.071,0.0,0.055,0.032,0.016,0.007,0.088,0.0,0.167,0.0,0.0,0.028,0.0,0.0,0.0,0.001,0.0,0.061,0.0,0.0,0.0,0.026,0.0,0.0,-1.0
