,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
277358,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277359,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.5,1.0,0.5,3.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,16.5,0.0,36
277360,avro,release-1.8.0,False,0.0,0.0,3.0,0.0,2.0,29.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.67,3.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.33,12.0,0.0,36
277361,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277362,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,17.0,-1.0,0.0,2.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,36
277363,avro,release-1.8.0,False,2.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,2.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,36
277364,avro,release-1.8.0,False,0.0,0.0,0.0,6.0,0.0,6.0,-1.0,30.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277365,avro,release-1.8.0,False,0.0,0.0,0.0,0.0,1.0,5.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277366,avro,release-1.8.0,False,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277367,avro,release-1.8.0,False,1.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277368,avro,release-1.8.0,False,0.0,0.0,0.0,1.0,0.0,3.0,-1.0,2.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277369,avro,release-1.8.0,False,0.0,0.0,0.0,0.0,1.0,5.0,-1.0,0.0,1.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,36
277370,avro,release-1.8.0,False,2.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,4.0,1.0,1.5,4.0,0.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,36
277371,avro,release-1.8.0,False,0.0,0.0,0.0,0.0,2.0,8.0,-1.0,0.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,36
